date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-02-17,150.23,Apple,-0.0075,-0.3590165099154223,0.0,0,Apple market update,0.6931471805599453,17.895487413914086,4,2,1,0,1,0
2023-02-21,146.22,Apple,-0.0267,0.0059800648900881406,0.0,1,Apple market update,0.6931471805599453,17.89079463443502,1,2,1,0,0,0
2023-02-22,146.65,Apple,0.0029,-0.36240795035557316,0.0,1,Apple market update,0.6931471805599453,17.747557754376846,2,2,1,0,0,0
2023-02-23,147.13,Apple,0.0033,-0.12066462569953125,0.0,0,Apple market update,0.6931471805599453,17.694890550458997,3,2,1,0,0,0
2023-02-24,144.48,Apple,-0.018,0.368926041025801,0.0,1,Apple market update,0.6931471805599453,17.831345698928207,4,2,1,0,1,0
2023-02-27,145.67,Apple,0.0082,-0.5384407622498084,0.0,0,Apple market update,0.6931471805599453,17.622139736068654,0,2,1,1,0,0
2023-02-28,145.17,Apple,-0.0034,0.31796871994142356,0.0,0,Apple market update,0.6931471805599453,17.7384141742722,1,2,1,0,0,0
2023-03-01,143.1,Apple,-0.0142,0.25915003530673325,0.0,1,Apple market update,0.6931471805599453,17.831515146759962,2,3,1,0,0,0
2023-03-02,143.69,Apple,0.0041,-0.14061639900529274,0.0,1,Apple market update,0.6931471805599453,17.771322690816895,3,3,1,0,0,0
2023-03-03,148.74,Apple,0.0351,0.7781027958030865,0.0,1,Apple market update,0.6931471805599453,18.074412900647584,4,3,1,0,1,0
2023-03-06,151.49,Apple,0.0185,0.5604685400847903,0.0,0,Apple market update,0.6931471805599453,18.28781200029894,0,3,1,1,0,0
2023-03-07,149.3,Apple,-0.0145,-1.1469093145757507,0.0,1,Apple market update,0.6931471805599453,17.84410699666361,1,3,1,0,0,0
2023-03-08,150.55,Apple,0.0084,-0.44477005782359175,0.0,0,Apple market update,0.6931471805599453,17.670006161484746,2,3,1,0,0,0
2023-03-09,148.3,Apple,-0.0149,0.35614558011307185,0.0,0,Apple market update,0.6931471805599453,17.801408384082738,3,3,1,0,0,0
