date,volume_change,high_low_ratio,target,headline,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded,news_count_log2,close_norm,price_change_norm
2023-01-04,-0.592745899408003,0.0,0,Apple market update,18.305422529500724,2,1,1,0,0,0,0.5265890341390445,-2.140101600937123,0.5609670436085031
2023-01-05,-0.2359397125040404,0.0,1,Apple market update,18.209499125101075,3,1,1,0,0,0,0.5265890341390445,-2.1718808329315307,-0.7277788022287116
2023-01-06,0.2270597267120796,3.469446951953614e-18,1,Apple market update,18.29005599152486,4,1,1,0,1,0,0.5265890341390445,-2.0628202867689045,2.1950227811532965
2023-01-09,-0.5532454402197409,0.0,1,Apple market update,18.075239620843863,0,1,1,1,0,0,0.5265890341390445,-2.050301195377168,0.1786596635036834
2023-01-10,-0.2533318206998685,0.0,1,Apple market update,17.972770465311235,1,1,1,0,0,0,0.5265890341390445,-2.0365783451977646,0.20332465576851041
2023-01-11,0.2346022280004348,0.0,0,Apple market update,18.056245783099172,2,1,1,0,0,0,0.5265890341390445,-1.9713346189062162,1.226921834758834
2023-01-12,0.0896888694702892,0.0,1,Apple market update,18.0835226862096,3,1,1,0,0,0,0.5265890341390445,-1.973260632966483,-0.11115399560803477
2023-01-13,-0.5427102114283452,0.0,1,Apple market update,17.872667156929733,4,1,1,0,1,0,0.5265890341390445,-1.9412406492145424,0.5486345474760895
2023-01-17,0.2670335922237309,0.0,0,Apple market update,17.9688564801278,1,1,1,0,0,0,0.5265890341390445,-1.913313445340669,0.46847332261540153
2023-01-18,0.2524007318313299,0.0,1,Apple market update,18.059320570016148,2,1,1,0,0,0,0.5265890341390445,-1.9306475718830731,-0.4071339027859597
2023-01-19,-0.4565541768270512,0.0,1,Apple market update,17.880776419844135,3,1,1,0,0,0,0.5265890341390445,-1.9292030613378728,-0.049491514945967076
2023-01-20,0.8174840250741575,0.0,1,Apple market update,18.200328306353796,4,1,1,0,1,0,0.5265890341390445,-1.8675706114093247,1.1097631215009054
2023-01-23,0.068063055374849,0.0,1,Apple market update,18.21930236591974,0,1,1,1,0,0,0.5265890341390445,-1.790770800756173,1.3749117883477966
2023-01-24,-0.5338496671150914,0.0,0,Apple market update,18.011736104289373,1,1,1,0,0,0,0.5265890341390445,-1.7573063064590313,0.5486345474760895
2023-01-25,-0.0069866732535375,0.0,1,Apple market update,18.002119773138816,2,1,1,0,0,0,0.5265890341390445,-1.773195922456235,-0.36397016632251233
2023-01-26,-0.5022326652217131,0.0,1,Apple market update,17.80643902772674,3,1,1,0,0,0,0.5265890341390445,-1.7233603086468232,0.8384482065878077
2023-01-27,0.6876505648002307,0.0,0,Apple market update,18.071914458254852,4,1,1,0,1,0,0.5265890341390445,-1.6768952194428786,0.7706194778595332
2023-01-30,-0.2394672319828074,0.0,1,Apple market update,17.974632690874326,0,1,1,1,0,0,0.5265890341390445,-1.746231725612495,-1.3135723685183547
2023-01-31,0.0929758752879849,0.0,1,Apple market update,18.00326198984455,1,1,1,0,0,0,0.5265890341390445,-1.7156562524057548,0.48080581874781503
2023-02-01,0.4396548344565758,0.0,1,Apple market update,18.167897249979816,2,2,1,0,0,0,0.5265890341390445,-1.688692055562015,0.41297709001954064
2023-02-02,1.0560254348077076,0.0,1,Apple market update,18.58906395339926,3,2,1,0,0,0,0.5265890341390445,-1.5610936240693174,2.213521525351917
2023-02-03,0.6882077292081545,3.469446951953614e-18,0,Apple market update,18.85478060938106,4,2,1,0,1,0,0.5265890341390445,-1.4739414878422306,1.4304080209436576
2023-02-06,-1.9523154728283671,0.0,1,Apple market update,18.06197947697851,0,2,1,1,0,0,0.5265890341390445,-1.539425965891313,-1.177914911061806
2023-02-07,0.4684449786960555,0.0,0,Apple market update,18.238230390864523,1,2,1,0,0,0,0.5265890341390445,-1.4703302114792296,1.1097631215009054
